n_samples,time,n_paths,n_NZero_paths,estimateR,estimateI,variance,varianceVar
1572864,52918,34603008,1225997,0.002468761,-0.0003735213999999999,6.31348846e-06,6.586801333109072e-11
1589248,52927,34963456,1238810,0.0024727903333333335,-0.00036613223333333326,6.218582309333334e-06,6.41121675728435e-11
1605632,52931,35323904,1251609,0.0025251263333333335,-0.00023747739999999996,6.274470577333333e-06,6.091005166384184e-11
1622016,52934,35684352,1264422,0.0025625590000000003,-0.0002424039666666667,6.069724439999999e-06,5.792359496889501e-11
1638400,52935,36044800,1277215,0.002555784666666667,-0.0003203619333333333,6.023694999999998e-06,5.570509108272612e-11
1654784,52936,36405248,1290010,0.002514307666666667,-0.00035433853333333333,6.576498016666666e-06,6.751595780676688e-11
1671168,52950,36765696,1302776,0.0024415785333333335,-0.0005549499000000001,8.377805253333333e-06,1.2129429637881196e-10
1687552,52994,37126144,1315598,0.0024822242000000004,-0.0005721577666666667,8.218953166666668e-06,1.1757015999347176e-10
1703936,53000,37486592,1328367,0.002478291,-0.0005447213333333333,8.157343566666666e-06,1.1263070984461054e-10
1720320,53004,37847040,1341017,0.0025467280000000003,-0.0004655213000000001,7.116349799999999e-06,8.286477411059044e-11
1736704,53016,38207488,1353797,0.0025945633333333334,-0.00045412883333333337,6.892788373333333e-06,7.667652944367333e-11
1753088,53042,38567936,1366548,0.0026099553333333333,-0.0004519499666666666,6.733063206666667e-06,7.393176507624437e-11
1769472,53048,38928384,1379306,0.002628809666666667,-0.0004702935333333334,6.632845400000001e-06,7.263855452805189e-11
1785856,53056,39288832,1392041,0.0026131813333333336,-0.0004299331666666666,6.3988417133333325e-06,6.720544857907875e-11
1802240,53090,39649280,1404838,0.0026173953333333334,-0.0006213360233333333,7.267785533333333e-06,8.596981014617626e-11
1818624,53091,40009728,1417651,0.0026174406666666667,-0.0006161866499999999,7.1152091e-06,8.177204933624228e-11
1835008,53105,40370176,1430405,0.002612829666666667,-0.0006031099133333333,6.968738166666666e-06,7.816315938721871e-11
1851392,53122,40730624,1443158,0.002665475,-0.0006027889366666666,6.812315833333334e-06,7.597267987721461e-11
1867776,53122,41091072,1455907,0.002066343,-1.8704333333333333e-05,8.707374433333334e-06,5.634550962756592e-11
1884160,53140,41451520,1468700,0.0021302493333333334,-4.279166666666667e-05,8.486930733333333e-06,5.585656349298027e-11
1900544,53168,41811968,1481399,0.002087461666666667,-9.338666666666688e-06,8.454632433333334e-06,5.438290707083384e-11
1916928,53198,42172416,1494126,0.0020578576666666665,2.0507666666666653e-05,8.410971566666667e-06,5.155649766707249e-11
1933312,53231,42532864,1506850,0.0020475126666666663,3.627466666666666e-05,8.4306264e-06,4.919435317701422e-11
1949696,53233,42893312,1519574,0.0020585313333333333,3.344966666666667e-05,8.378924933333334e-06,4.847455446626414e-11
1966080,53236,43253760,1532397,0.0020653223333333332,4.386099999999993e-05,8.067882233333333e-06,4.6915354932742505e-11
1982464,53238,43614208,1545193,0.0020411283333333333,-0.00011526076666666677,7.79943881e-06,4.5732202258011797e-11
1998848,53258,43974656,1557987,0.002016359,-8.280003333333327e-05,7.718495496666666e-06,4.3078783326063246e-11
2015232,53286,44335104,1570765,0.0020689516666666666,-7.137613333333325e-05,7.258264496666666e-06,3.881207103485407e-11
2031616,53290,44695552,1583543,0.0020811483333333333,-6.360319999999997e-05,7.2057687200000006e-06,3.736173634601272e-11
2048000,53291,45056000,1596279,0.0020388906666666665,-2.9148399999999956e-05,7.5926799435e-06,3.6581302282885914e-11
2064384,53400,45416448,1609057,0.0020953516666666664,-4.9741199999999916e-05,7.345912980153333e-06,3.574016224283777e-11
2080768,78398,45776896,1621815,0.002153221333333333,-7.486380000000009e-05,7.109186061913333e-06,3.427042141041654e-11
2097152,87788,46137344,1634530,0.0021707993333333333,-8.323353333333334e-05,6.9736954046999996e-06,3.3337780872323506e-11
2113536,89374,46497792,1647356,0.0022420913333333335,-0.00011364810000000008,6.6952453159999995e-06,3.308344959481519e-11
2129920,89403,46858240,1660157,0.002303345333333333,-0.00012154603333333321,6.32155929e-06,3.077336651972234e-11
2146304,89483,47218688,1672916,0.0023147576666666665,-0.00012745366666666664,6.201604341333334e-06,3.0276309052516424e-11
2162688,89510,47579136,1685745,0.002173440333333333,-5.55840666666667e-05,6.965133483333333e-06,2.92621215076425e-11
2179072,89523,47939584,1698535,0.0021861786666666667,-5.3075966666666644e-05,7.014719812666667e-06,2.9645285966537774e-11
2195456,89527,48300032,1711357,0.0021997143333333333,-4.243440000000004e-05,6.928185134965666e-06,2.8880617811744617e-11
2211840,89529,48660480,1724158,0.002221322,-9.522253333333335e-05,6.582700521966666e-06,2.8470115539271077e-11
2228224,89548,49020928,1736948,0.0023181713333333335,0.0004481606666666667,7.38896982e-06,1.8445537601894173e-11
2244608,89605,49381376,1749687,0.0023463856666666666,0.00043684400000000003,7.214409470000001e-06,1.8018547555803683e-11
2260992,89611,49741824,1762485,0.002387596666666667,0.0005018436666666665,6.87316274e-06,1.3030676478131282e-11
2277376,89614,50102272,1775256,0.002378668333333333,0.0005019776666666667,6.791843719999999e-06,1.2783348887832268e-11
2293760,89632,50462720,1788029,0.0022626315000000004,0.00010134836666666673,7.003179092083334e-06,1.3221791389079368e-11
2310144,89647,50823168,1800857,0.0023726803333333334,6.34661666666666e-05,6.3329814389999995e-06,9.499080565564509e-12
2326528,89665,51183616,1813570,0.0024014243333333337,8.129750000000003e-05,6.313117363666667e-06,8.831953567206632e-12
2342912,89675,51544064,1826328,0.0024266116666666667,7.026800000000007e-05,6.226746261666667e-06,8.633242708871339e-12
2359296,89692,51904512,1839075,0.0024333343333333333,6.296280000000001e-05,6.190289142e-06,8.680613237325098e-12
2375680,89714,52264960,1851924,0.0024376813333333333,7.31988e-05,6.09122303479e-06,8.238591537218197e-12
2392064,89728,52625408,1864712,0.0024949546666666665,4.9282700000000124e-05,5.998814172e-06,8.395482672550953e-12
2408448,89732,52985856,1877515,0.002518201,2.192453333333336e-05,5.841938650000001e-06,8.679997056612345e-12
2424832,89748,53346304,1890228,0.0025311333333333332,1.5378833333333394e-05,5.754280457600001e-06,8.48521598737131e-12
2441216,89750,53706752,1903015,0.0025212586666666665,2.8040100000000043e-05,5.72458389e-06,8.027418366491695e-12
2457600,89752,54067200,1915799,0.0025338476666666664,2.7457633333333377e-05,5.604258018666666e-06,7.79394136300045e-12
2473984,89756,54427648,1928564,0.0025848936666666667,8.209910000000001e-05,5.186073571666667e-06,5.50521680803101e-12
2490368,89770,54788096,1941311,0.0026042099999999996,6.754120000000002e-05,5.079331079333333e-06,5.357371667784691e-12
2506752,89797,55148544,1954083,0.0025855503333333334,0.00011987066666666668,5.287223348333333e-06,5.7055254827727755e-12
2523136,89798,55508992,1966835,0.002578291,0.00012820666666666668,5.162981455666666e-06,5.43823686879096e-12
2539520,89805,55869440,1979653,0.002585058,0.0001266650666666666,5.129422527666667e-06,5.372785746710555e-12
2555904,89816,56229888,1992426,0.0026022843333333334,0.00012147323333333339,4.980106135999999e-06,5.108258059768835e-12
2572288,89816,56590336,2005151,0.0026148850000000004,0.00012258309999999993,4.992757303566666e-06,5.48983115285166e-12
2588672,89830,56950784,2017936,0.0026369966666666667,0.00011885040000000006,4.9096264806666665e-06,5.530498962621902e-12
2605056,89832,57311232,2030771,0.0026701823333333333,0.00011804030000000006,4.846337675e-06,5.3181200062470986e-12
2621440,89832,57671680,2043566,0.002667237666666667,0.00012489256666666664,4.748170846666667e-06,5.1063013459040485e-12
2637824,89834,58032128,2056356,0.0027160126666666666,0.0001746064666666667,4.424693717533333e-06,4.6764995542206574e-12
2654208,89850,58392576,2069186,0.0027524449999999996,0.00017962010000000008,4.4120351747666675e-06,4.52731495886668e-12
2670592,89851,58753024,2081904,0.0026324943333333336,0.00023594750000000006,4.840599008333333e-06,4.993183098240024e-12
2686976,89852,59113472,2094670,0.0026541916666666665,0.0002212931333333334,4.784322615e-06,4.986444665613966e-12
2703360,89858,59473920,2107503,0.0027259309999999996,0.0002633647666666668,4.852987238e-06,3.938552392431203e-12
2719744,89859,59834368,2120236,0.002743886333333333,0.00025218723333333336,4.720907014733334e-06,3.753724886701454e-12
2736128,89865,60194816,2132998,0.0027674803333333337,0.0002743133666666667,4.869571768e-06,3.491594366427274e-12
2752512,89867,60555264,2145799,0.002773029333333333,0.0002577019666666666,4.758363338699634e-06,3.460912783861642e-12
2768896,89867,60915712,2158540,0.002787361666666667,0.00024479019999999995,4.694886142433333e-06,3.4833673124417488e-12
2785280,89873,61276160,2171369,0.002771084666666667,0.0002539056333333332,4.587377277333333e-06,3.275521947659404e-12
2801664,89876,61636608,2184208,0.0027871673333333333,0.0002577903999999999,4.361372826666666e-06,2.8357596764528416e-12
2818048,89887,61997056,2197060,0.002845267,0.00026663749999999986,4.154366878e-06,2.3866109617065163e-12
2834432,89888,62357504,2209844,0.002854253333333333,0.00020828753333333337,3.84764287e-06,2.875884811072614e-12
2850816,89889,62717952,2222680,0.002897786,0.00019212366666666674,3.721556036666667e-06,2.7132863409191853e-12
2867200,89892,63078400,2235506,0.002871274666666667,0.00020972910000000003,3.6737717933333332e-06,2.5610940729853817e-12
2883584,89901,63438848,2248240,0.0028997153333333333,0.00017476906666666665,3.5123669433333334e-06,2.339173571829346e-12
2899968,89908,63799296,2261040,0.0029198536666666663,0.00017992306666666664,3.3971747599999998e-06,2.0872164143159147e-12
2916352,89910,64159744,2273813,0.0029029293333333334,0.00015914896666666673,3.2846786666666666e-06,2.3431038701088756e-12
2932736,89914,64520192,2286603,0.0028888536666666666,0.00016966673333333325,3.232935303333333e-06,2.271682198608846e-12
2949120,89916,64880640,2299375,0.002877292,0.00017568853333333338,3.3295226533333337e-06,2.458338671192903e-12
2965504,89918,65241088,2312200,0.0028962899999999997,0.0002085068666666667,3.25931473e-06,2.2879695792272202e-12
2981888,89920,65601536,2324954,0.0029161066666666667,0.00020183136666666662,3.1843279533333335e-06,2.2121010871331483e-12
2998272,89926,65961984,2337673,0.002908772,0.00020890053333333345,3.15224353e-06,2.198643504679133e-12
3014656,89930,66322432,2350414,0.0029128093333333333,0.00020545316666666663,3.127549076666667e-06,2.1907010251287988e-12
3031040,89934,66682880,2363219,0.002900817333333333,0.00022342036666666665,3.0818005633333336e-06,2.0112306977335745e-12
3047424,89935,67043328,2375976,0.0028904016666666667,0.00023348916666666663,3.0875814933333337e-06,1.9490928144832234e-12
3063808,89935,67403776,2388805,0.002909969,0.00022593376666666656,3.052639473333334e-06,1.8683024455843045e-12
3080192,89952,67764224,2401575,0.003066151333333333,0.00044452600000000005,2.447858863333333e-06,1.3827252337454815e-12
3096576,89957,68124672,2414300,0.0030989683333333333,0.000443972,2.3816661900000004e-06,1.3667769495060373e-12
3112960,89961,68485120,2427060,0.0031128613333333333,0.0004354013333333333,2.3393322933333332e-06,1.3919695868618854e-12
3129344,89963,68845568,2439908,0.0030803656666666666,0.00045089533333333336,2.49243132e-06,1.4912988824235846e-12
3145728,89969,69206016,2452748,0.003076909666666667,0.0004467890000000001,2.4959049699999997e-06,1.4978071134796476e-12
3162112,89969,69566464,2465492,0.0030627773333333328,0.0004364586666666667,2.5261725766666667e-06,1.6541479037867114e-12
3178496,89976,69926912,2478257,0.0030494709999999998,0.000452846,2.4646542266666667e-06,1.512302235953415e-12
3194880,89988,70287360,2491084,0.003044681,0.00045903433333333347,2.4919407333333334e-06,1.502209318724269e-12
3211264,89988,70647808,2503882,0.0030397840000000002,0.000470409,2.4819763766666666e-06,1.42228337491217e-12
3227648,90000,71008256,2516678,0.0030487450000000003,0.00046970633333333345,2.3848865800000003e-06,1.4083926621904436e-12
3244032,90001,71368704,2529443,0.0030490396666666667,0.0004892043333333334,2.35468662e-06,1.2415269667859791e-12
3260416,90017,71729152,2542131,0.003028145333333333,0.000497514,2.3198923433333336e-06,1.1770145644282084e-12
3276800,90020,72089600,2554902,0.0030208843333333333,0.0005080973333333334,2.30022652e-06,1.0740955428949231e-12
3293184,90054,72450048,2567659,0.0030090006666666663,0.000524663,2.2755100799999998e-06,9.728062180739049e-13
3309568,90061,72810496,2580446,0.003021672333333333,0.0005171703333333334,2.24315864e-06,9.682851735886123e-13
3325952,90062,73170944,2593204,0.0029145173333333333,0.0005643173333333334,2.58916467e-06,1.1044614751221723e-12
3342336,90062,73531392,2605990,0.0029375559999999996,0.0005554326666666667,2.6073024733333337e-06,1.186377422188664e-12
3358720,90075,73891840,2618729,0.0028802716666666665,0.000520403,2.413422816666667e-06,1.5262318251780412e-12
3375104,90083,74252288,2631514,0.002904394333333333,0.00051369,2.4142645066666667e-06,1.5332692719519634e-12
3391488,90099,74612736,2644328,0.00290658,0.000530465,2.505944623333333e-06,1.7208556431076625e-12
3407872,90100,74973184,2657114,0.002958155,0.0005569806666666667,2.3870508933333333e-06,1.5486268205654623e-12
3424256,90102,75333632,2669852,0.0029989116666666667,0.0006308636666666666,2.5865154900000002e-06,1.2071150619012624e-12
3440640,90103,75694080,2682686,0.0030341436666666663,0.00061175,2.5334164666666666e-06,1.1702478793969627e-12
3457024,90111,76054528,2695464,0.0030441770000000003,0.0006078816666666668,2.5025441333333334e-06,1.1441162433726007e-12
