trueR , trueI
0.028675 , -0.032617
n_samples , estimateR , estimateI, varianceR, varianceI
307200 , 0.023599 , -0.032174, 0.000026, 0.000000
308224 , 0.023791 , -0.032294, 0.000024, 0.000000
309248 , 0.023802 , -0.032536, 0.000024, 0.000000
310272 , 0.023789 , -0.032621, 0.000024, 0.000000
311296 , 0.023773 , -0.032641, 0.000024, 0.000000
312320 , 0.024018 , -0.032678, 0.000022, 0.000000
313344 , 0.023805 , -0.032641, 0.000024, 0.000000
314368 , 0.023925 , -0.032535, 0.000023, 0.000000
315392 , 0.023501 , -0.032845, 0.000027, 0.000000
316416 , 0.023514 , -0.033119, 0.000027, 0.000000
317440 , 0.023355 , -0.033135, 0.000028, 0.000000
318464 , 0.023684 , -0.033015, 0.000025, 0.000000
319488 , 0.023707 , -0.032940, 0.000025, 0.000000
320512 , 0.023690 , -0.033002, 0.000025, 0.000000
321536 , 0.023788 , -0.032754, 0.000024, 0.000000
322560 , 0.023826 , -0.032796, 0.000024, 0.000000
323584 , 0.023806 , -0.032775, 0.000024, 0.000000
324608 , 0.023904 , -0.032823, 0.000023, 0.000000
325632 , 0.023788 , -0.032787, 0.000024, 0.000000
326656 , 0.023725 , -0.032857, 0.000025, 0.000000
327680 , 0.023392 , -0.032889, 0.000028, 0.000000
328704 , 0.023233 , -0.032635, 0.000030, 0.000000
329728 , 0.023226 , -0.032668, 0.000030, 0.000000
330752 , 0.023199 , -0.032752, 0.000030, 0.000000
331776 , 0.023174 , -0.032694, 0.000030, 0.000000
332800 , 0.023407 , -0.032799, 0.000028, 0.000000
333824 , 0.023186 , -0.033036, 0.000030, 0.000000
334848 , 0.023039 , -0.032973, 0.000032, 0.000000
335872 , 0.022783 , -0.033057, 0.000035, 0.000000
336896 , 0.022865 , -0.032891, 0.000034, 0.000000
337920 , 0.023038 , -0.032917, 0.000032, 0.000000
338944 , 0.022917 , -0.032753, 0.000033, 0.000000
339968 , 0.022850 , -0.032839, 0.000034, 0.000000
340992 , 0.022856 , -0.032825, 0.000034, 0.000000
342016 , 0.022834 , -0.032725, 0.000034, 0.000000
343040 , 0.022832 , -0.032623, 0.000034, 0.000000
344064 , 0.022839 , -0.032758, 0.000034, 0.000000
345088 , 0.023090 , -0.032634, 0.000031, 0.000000
346112 , 0.023370 , -0.032560, 0.000028, 0.000000
347136 , 0.023245 , -0.032619, 0.000029, 0.000000
348160 , 0.023328 , -0.032815, 0.000029, 0.000000
349184 , 0.023390 , -0.032587, 0.000028, 0.000000
350208 , 0.023205 , -0.032503, 0.000030, 0.000000
351232 , 0.023212 , -0.032404, 0.000030, 0.000000
352256 , 0.023198 , -0.032498, 0.000030, 0.000000
353280 , 0.023163 , -0.032618, 0.000030, 0.000000
354304 , 0.023231 , -0.032528, 0.000030, 0.000000
355328 , 0.023467 , -0.032476, 0.000027, 0.000000
356352 , 0.023291 , -0.032286, 0.000029, 0.000000
357376 , 0.022887 , -0.032274, 0.000034, 0.000000
358400 , 0.022969 , -0.032428, 0.000033, 0.000000
359424 , 0.023128 , -0.032682, 0.000031, 0.000000
360448 , 0.023240 , -0.032804, 0.000030, 0.000000
361472 , 0.023500 , -0.032666, 0.000027, 0.000000
362496 , 0.023663 , -0.032703, 0.000025, 0.000000
363520 , 0.023684 , -0.032581, 0.000025, 0.000000
364544 , 0.023822 , -0.032524, 0.000024, 0.000000
365568 , 0.024099 , -0.032647, 0.000021, 0.000000
366592 , 0.024143 , -0.032706, 0.000021, 0.000000
367616 , 0.024137 , -0.032593, 0.000021, 0.000000
368640 , 0.024073 , -0.032695, 0.000021, 0.000000
369664 , 0.024008 , -0.032758, 0.000022, 0.000000
370688 , 0.023997 , -0.032612, 0.000022, 0.000000
371712 , 0.024052 , -0.032766, 0.000021, 0.000000
372736 , 0.024036 , -0.032889, 0.000022, 0.000000
373760 , 0.024268 , -0.033046, 0.000019, 0.000000
374784 , 0.024176 , -0.033261, 0.000020, 0.000000
375808 , 0.024267 , -0.033337, 0.000019, 0.000001
376832 , 0.024170 , -0.033257, 0.000020, 0.000000
377856 , 0.024259 , -0.033321, 0.000020, 0.000000
378880 , 0.024319 , -0.033494, 0.000019, 0.000001
379904 , 0.024258 , -0.033506, 0.000020, 0.000001
380928 , 0.024359 , -0.033559, 0.000019, 0.000001
381952 , 0.024333 , -0.033632, 0.000019, 0.000001
382976 , 0.024446 , -0.033702, 0.000018, 0.000001
384000 , 0.024332 , -0.033750, 0.000019, 0.000001
385024 , 0.024120 , -0.033789, 0.000021, 0.000001
386048 , 0.024263 , -0.033744, 0.000019, 0.000001
387072 , 0.024367 , -0.033821, 0.000019, 0.000001
388096 , 0.024317 , -0.033781, 0.000019, 0.000001
389120 , 0.024275 , -0.033854, 0.000019, 0.000002
390144 , 0.024406 , -0.033831, 0.000018, 0.000001
391168 , 0.024469 , -0.033834, 0.000018, 0.000001
392192 , 0.024605 , -0.033791, 0.000017, 0.000001
393216 , 0.024482 , -0.033736, 0.000018, 0.000001
394240 , 0.024387 , -0.033796, 0.000018, 0.000001
395264 , 0.024404 , -0.033894, 0.000018, 0.000002
396288 , 0.024659 , -0.033816, 0.000016, 0.000001
397312 , 0.024740 , -0.033866, 0.000015, 0.000002
398336 , 0.024891 , -0.034012, 0.000014, 0.000002
399360 , 0.024721 , -0.033963, 0.000016, 0.000002
400384 , 0.024766 , -0.034041, 0.000015, 0.000002
401408 , 0.024836 , -0.033909, 0.000015, 0.000002
402432 , 0.024694 , -0.033889, 0.000016, 0.000002
403456 , 0.024788 , -0.033848, 0.000015, 0.000002
404480 , 0.024662 , -0.033861, 0.000016, 0.000002
405504 , 0.024753 , -0.033937, 0.000015, 0.000002
406528 , 0.024705 , -0.033964, 0.000016, 0.000002
407552 , 0.024696 , -0.033923, 0.000016, 0.000002
408576 , 0.024653 , -0.033897, 0.000016, 0.000002
409600 , 0.024340 , -0.033909, 0.000019, 0.000002
410624 , 0.024426 , -0.034111, 0.000018, 0.000002
411648 , 0.024520 , -0.034096, 0.000017, 0.000002
412672 , 0.024671 , -0.033937, 0.000016, 0.000002
413696 , 0.024503 , -0.033910, 0.000017, 0.000002
414720 , 0.024485 , -0.033819, 0.000018, 0.000001
415744 , 0.024288 , -0.033829, 0.000019, 0.000001
416768 , 0.024289 , -0.033794, 0.000019, 0.000001
417792 , 0.024071 , -0.033877, 0.000021, 0.000002
418816 , 0.023868 , -0.033745, 0.000023, 0.000001
419840 , 0.023759 , -0.033785, 0.000024, 0.000001
420864 , 0.023778 , -0.033647, 0.000024, 0.000001
421888 , 0.023613 , -0.033500, 0.000026, 0.000001
422912 , 0.023675 , -0.033551, 0.000025, 0.000001
423936 , 0.023672 , -0.033525, 0.000025, 0.000001
424960 , 0.023486 , -0.033479, 0.000027, 0.000001
425984 , 0.023503 , -0.033527, 0.000027, 0.000001
427008 , 0.023606 , -0.033670, 0.000026, 0.000001
428032 , 0.023768 , -0.033661, 0.000024, 0.000001
429056 , 0.023861 , -0.033609, 0.000023, 0.000001
430080 , 0.023964 , -0.033701, 0.000022, 0.000001
431104 , 0.024022 , -0.033767, 0.000022, 0.000001
432128 , 0.023911 , -0.033685, 0.000023, 0.000001
433152 , 0.023875 , -0.033663, 0.000023, 0.000001
434176 , 0.023762 , -0.033729, 0.000024, 0.000001
435200 , 0.023817 , -0.033789, 0.000024, 0.000001
436224 , 0.023762 , -0.033685, 0.000024, 0.000001
437248 , 0.023882 , -0.033580, 0.000023, 0.000001
438272 , 0.023853 , -0.033514, 0.000023, 0.000001
439296 , 0.023948 , -0.033404, 0.000022, 0.000001
440320 , 0.023948 , -0.033229, 0.000022, 0.000000
441344 , 0.023888 , -0.033384, 0.000023, 0.000001
442368 , 0.024024 , -0.033278, 0.000022, 0.000000
443392 , 0.024133 , -0.033417, 0.000021, 0.000001
444416 , 0.024110 , -0.033311, 0.000021, 0.000000
445440 , 0.024081 , -0.033251, 0.000021, 0.000000
446464 , 0.024399 , -0.033347, 0.000018, 0.000001
447488 , 0.024548 , -0.033354, 0.000017, 0.000001
448512 , 0.024665 , -0.033342, 0.000016, 0.000001
449536 , 0.024682 , -0.033199, 0.000016, 0.000000
450560 , 0.024712 , -0.033169, 0.000016, 0.000000
451584 , 0.024751 , -0.033081, 0.000015, 0.000000
452608 , 0.024801 , -0.033034, 0.000015, 0.000000
453632 , 0.024714 , -0.033029, 0.000016, 0.000000
454656 , 0.024647 , -0.033030, 0.000016, 0.000000
455680 , 0.024595 , -0.032954, 0.000017, 0.000000
456704 , 0.024599 , -0.032941, 0.000017, 0.000000
457728 , 0.024823 , -0.033089, 0.000015, 0.000000
458752 , 0.024891 , -0.032956, 0.000014, 0.000000
459776 , 0.024968 , -0.032841, 0.000014, 0.000000
460800 , 0.025093 , -0.032953, 0.000013, 0.000000
461824 , 0.025234 , -0.033009, 0.000012, 0.000000
462848 , 0.025265 , -0.032908, 0.000012, 0.000000
463872 , 0.025170 , -0.032866, 0.000012, 0.000000
464896 , 0.025166 , -0.032882, 0.000012, 0.000000
465920 , 0.025127 , -0.033037, 0.000013, 0.000000
466944 , 0.025208 , -0.033050, 0.000012, 0.000000
467968 , 0.025363 , -0.033168, 0.000011, 0.000000
468992 , 0.025354 , -0.033176, 0.000011, 0.000000
470016 , 0.025409 , -0.033167, 0.000011, 0.000000
471040 , 0.025475 , -0.033073, 0.000010, 0.000000
472064 , 0.025577 , -0.033145, 0.000010, 0.000000
473088 , 0.025523 , -0.033094, 0.000010, 0.000000
474112 , 0.025539 , -0.033002, 0.000010, 0.000000
475136 , 0.025468 , -0.033066, 0.000010, 0.000000
476160 , 0.025419 , -0.033012, 0.000011, 0.000000
477184 , 0.025454 , -0.033088, 0.000010, 0.000000
478208 , 0.025339 , -0.033110, 0.000011, 0.000000
479232 , 0.025426 , -0.033155, 0.000011, 0.000000
480256 , 0.025334 , -0.033159, 0.000011, 0.000000
481280 , 0.025476 , -0.033148, 0.000010, 0.000000
482304 , 0.025415 , -0.033052, 0.000011, 0.000000
483328 , 0.025314 , -0.033047, 0.000011, 0.000000
484352 , 0.025363 , -0.033003, 0.000011, 0.000000
485376 , 0.025335 , -0.033013, 0.000011, 0.000000
486400 , 0.025199 , -0.032977, 0.000012, 0.000000
487424 , 0.025207 , -0.032848, 0.000012, 0.000000
